Address,BuildingType,City,ComplianceStatus,CouncilDistrictCode,DataYear,DefaultData,Electricity(kBtu),Electricity(kWh),ENERGYSTARScore,GHGEmissionsIntensity,LargestPropertyUseType,LargestPropertyUseTypeGFA,Latitude,ListOfAllPropertyUseTypes,Longitude,NaturalGas(kBtu),NaturalGas(therms),Neighborhood,NumberofBuildings,NumberofFloors,OSEBuildingID,PrimaryPropertyType,PropertyGFABuilding(s),PropertyGFAParking,PropertyGFATotal,PropertyName,SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),State,SteamUse(kBtu),TaxParcelIdentificationNumber,TotalGHGEmissions,YearBuilt,ZipCode
1140 18th Ave,Multifamily LR (1-4),Seattle,Compliant,3,2016,false,1181054,346147.0938,79,0.8,Multifamily Housing,45822,47.61269,"Multifamily Housing, Parking",'-122.3085,412556,4125.560059,Central,2,3,27981,Low-Rise Multifamily,37824,0,37824,Union 18 Apartments,1593610.125,1697676.75,34.79999924,37,90.40000153,97.5,WA,0,7234601475,30.14,1969,98122
1140 Alki Ave SW,Multifamily MR (5-9),Seattle,Compliant,1,2016,false,975014,285760.1875,74,0.48,Multifamily Housing,41510,47.59491,Multifamily Housing,'-122.38654,250779,2507.789795,South,1,5,21619,Mid-Rise Multifamily,41510,0,41510,Duwamish Head,1225792.75,1343144.75,29.5,32.40000153,80.09999847,87.30000305,WA,0,2134000000,20.12,1975,98116
1141 NW 50th St,NonResidential,Seattle,Compliant,6,2016,false,1799383,527369,3,1.89,Non-Refrigerated Warehouse,31932,47.6644,"Non-Refrigerated Warehouse, Office",'-122.37246,1236579,12365.78906,North,1,3,22261,Warehouse,41478,0,41478,Building B,3035962.25,3287502,73.19999695,79.30000305,167.5,173.8999939,WA,0,2768301991,78.22,1975,98107
1144 Eastlake Ave East,NonResidential,Seattle,Compliant,3,2016,false,4342597,1272742.25,81,0.22,Office,82098,47.62958,Office,'-122.32826,0,0,Central,1,7,452,Large Office,94472,44728,139200,1144 Eastlake Building,4342597,4342597,52.90000153,52.90000153,166.1000061,166.1000061,WA,0,2163901080,30.27,2001,98109
11448 Rainier Ave S,Multifamily LR (1-4),Seattle,Error - Correct Default Data,3,2016,true,4318036,1265544,98,1.26,Senior Care Community,132284,47.50061895,Senior Care Community,'-122.2209659,2405935,24059.34961,Central,1,3,29069,Senior Care Community,124930,0,124930,Lakeshore,6723971.5,6987057,50.79999924,52.79999924,121.5999985,126.3000031,WA,0,1180001715,157.88,1995,98178
1145 10th Ave E,Multifamily LR (1-4),Seattle,Compliant,3,2016,false,1296273,379915.9063,93,0.56,Multifamily Housing,63663,47.62993,"Multifamily Housing, Parking",'-122.32054,819393,8193.929688,Central,1,3,49874,Low-Rise Multifamily,93179,0,93179,Gatsby Apartments,2115666,2197760.75,33.20000076,34.5,77.40000153,80.19999695,WA,0,6762700280,52.55,2014,98102
1148 NW Leary Way,NonResidential,Seattle,Compliant,6,2016,false,234613,68761.20313,0,1.25,Other,14840,47.66389,"Non-Refrigerated Warehouse, Other, Retail Store",'-122.37307,700967,7009.669434,North,1,2,22259,Mixed Use Property,31140,0,31140,Building C,935580.3125,1111093,30,35.70000076,47.29999924,53.70000076,WA,0,2768301991,38.86,1910,98107
115 NE 100th Street,NonResidential,Seattle,Compliant,5,2016,false,3568419,1045843.813,38,0.62,Office,39541,47.70079,"Office, Parking",'-122.32714,0,0,North,1,3,21904,Small- and Mid-Sized Office,39927,0,39927,Northgate Exec Center A,3568419.5,3832168.5,90.19999695,96.90000153,283.3999939,304.2999878,WA,0,2434900010,24.88,1974,98125
115 S Dawson St,NonResidential,Seattle,Compliant,2,2016,false,143797,42144.60156,0,0.34,Non-Refrigerated Warehouse,24000,47.55544,"Non-Refrigerated Warehouse, Office",'-122.33294,143335,1433.350098,South,1,1,25842,Warehouse,25000,0,25000,115 Dawson,287132.5,342696.3125,11.5,13.69999981,24.10000038,26.10000038,WA,0,5263300910,8.61,1960,98134
115 S Lucile St,NonResidential,Seattle,Compliant,2,2016,false,861621,252526.5938,0,2.64,Non-Refrigerated Warehouse,13393,47.55317,"Food Sales, Non-Refrigerated Warehouse, Office",'-122.33289,1127483,11274.83008,South,1,1,25839,Warehouse,25000,0,25000,J D OTT COMPANY (115 S Lucile St),1989103.875,2044286.625,79.59999847,81.80000305,155.6000061,157.8999939,WA,0,5263300725,65.89,1964,98108
115 W Olympic Pl,Multifamily LR (1-4),Seattle,Compliant,7,2016,false,389947,114286.8984,28,2.99,Multifamily Housing,46296,47.62662,Multifamily Housing,'-122.35876,2552944,25529.43945,North,1,4,23570,Low-Rise Multifamily,46296,0,46296,Delamar Apartments,2942890.75,3244258.25,63.59999847,70.09999847,84.30000305,91.19999695,WA,0,3879900670,138.31,1909,98119
115 Warren Ave N,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,1300780,381236.8125,79,0.47,Multifamily Housing,52947,47.6191,Multifamily Housing,'-122.35446,565503,5655.030273,North,1,6,21694,Mid-Rise Multifamily,83270,0,83270,The Bernard,1866283.125,1949812.875,35.20000076,36.79999924,88.40000153,92.59999847,WA,0,1989201400,39.1,2007,98109
1150 Fairview Ave N,NonResidential,Seattle,Compliant,3,2016,false,4079217,1195550.25,79,2.5,Hotel,123920,47.62972,"Hotel, Parking, Swimming Pool",'-122.32906,5293961,52939.60938,Central,1,5,232,Hotel,93920,30000,123920,Silver Cloud Inn,9373179,9676783,75.59999847,78.09999847,148.1999969,152.1999969,WA,0,4088802955,309.6,1998,98109
11500 - 15th Avenue N.E.,Multifamily LR (1-4),Seattle,Compliant,5,2016,false,698327,204667.7969,51,0.2,Multifamily Housing,23888,47.71307,Multifamily Housing,'-122.31246,0,0,North,1,4,27958,Low-Rise Multifamily,23888,0,23888,115th,698326.625,736286,29.20000076,30.79999924,91.80000305,96.80000305,WA,0,6798100725,4.87,1974,98272
11500 Pinehurst Wy NE,Multifamily LR (1-4),Seattle,Compliant,5,2016,false,1183042,346729.8125,81,0.16,Multifamily Housing,53972,47.7124,Multifamily Housing,'-122.31414,0,0,North,1,4,21569,Low-Rise Multifamily,51387,0,51387,Pinehurst Apartments,1183042.125,1249845.875,21.89999962,23.20000076,68.80000305,72.69999695,WA,0,2044500380,8.25,1978,98125
11501 15th Ave NE,Multifamily LR (1-4),Seattle,Compliant,5,2016,false,3799975,1113708.875,49,1.35,Senior Care Community,91694,47.71235,"Parking, Senior Care Community",'-122.31323,1772035,17720.34961,North,1,4,21568,Senior Care Community,89391,0,89391,24747-Brookdale Northgate,5572010,5964885.5,60.79999924,65.09999847,150.3999939,160,WA,0,2044500360,120.6,1962,98125
11506 STONE AVE N,Multifamily LR (1-4),Seattle,Compliant,5,2016,false,1943933,569734.3125,0,0.45,Multifamily Housing,37296,47.71244,"Multifamily Housing, Office, Parking",'-122.34181,0,0,North,1,3,23074,Low-Rise Multifamily,29810,0,29810,AKI KUROSE VILLAGE,1943933.625,2024134.875,52.09999847,54.20000076,163.5,170.1999969,WA,0,3026049140,13.55,1999,98133
1151 N 94th St,Multifamily LR (1-4),Seattle,Compliant,5,2016,false,635699,186312.5938,71,0.2,Multifamily Housing,18480,47.69687,"Multifamily Housing, Parking",'-122.34221,0,0,North,1,4,25751,Low-Rise Multifamily,21880,0,21880,Stone Court Apartments,635698.6875,671818.125,34.40000153,36.40000153,108,114.1999969,WA,0,9267200100,4.43,1989,98103
11512 Aurora Avenue N,NonResidential,Seattle,Compliant,5,2016,false,237813,69699,89,0.1,Non-Refrigerated Warehouse,64660,47.71286,Non-Refrigerated Warehouse,'-122.34422,87700,876.999939,North,1,3,550,Warehouse,64660,0,64660,21517-Seattle / Aurora AVE N,325513,333622.5938,5,5.199999809,13,13.10000038,WA,0,5687500005,6.32,1986,98133
11520 Greenwood Ave N,Multifamily LR (1-4),Seattle,Compliant,5,2016,false,586827,171989.2969,0,0.19,Multifamily Housing,18364,47.71298,"Multifamily Housing, Parking",'-122.35517,0,0,North,1,3,26095,Low-Rise Multifamily,21996,0,21996,Greenwood Gardens Apartments,586827.5,625011.1875,32,34,100.3000031,106.9000015,WA,0,6140100155,4.09,1969,98133
11530 12th Ave. N.E.,SPS-District K-12,Seattle,Error - Correct Default Data,5,2016,true,921835,270174.4063,94,0.3,K-12 School,50337,47.71343,K-12 School,'-122.31466,70083,700.8300171,North,1,1,21570,K-12 School,34005,0,34005,Hazel Wolf K-8 at Pinehurst,991918,991918,19.70000076,19.70000076,59,59,WA,0,2044500390,10.15,1950,98125
11532 15th Ave NE,Multifamily LR (1-4),Seattle,Compliant,5,2016,false,469766,137680.4063,0,0.7,NULL,0,47.71313,"Multifamily Housing, Office",'-122.31214,245487,2454.870117,North,1,4,27966,Low-Rise Multifamily,23175,0,23175,Pinehurst Lane,715252.625,764383.125,30.89999962,33,74.80000305,78,WA,0,6798800000,16.31,1997,98125
11539 GREENWOOD AVE N,Multifamily LR (1-4),Seattle,Compliant,5,2016,false,459085,134550.0938,88,0.71,Multifamily Housing,25914,47.71356,Multifamily Housing,'-122.35599,286490,2864.899902,North,0,3,25144,Low-Rise Multifamily,25914,0,25914,LarLin Manor,745575,781065.625,28.79999924,30.10000038,67.19999695,71.5,WA,0,3918400175,18.42,1967,98133
11540 Pinehurst Way NE,Multifamily LR (1-4),Seattle,Compliant,5,2016,false,898495,263333.8125,0,0.17,Multifamily Housing,36408,47.71306,Multifamily Housing,'-122.31309,0,0,North,1,4,21567,Low-Rise Multifamily,36408,0,36408,Riviera Northgate Apts.,898495.1875,937177.1875,24.70000076,25.70000076,77.5,80.80000305,WA,0,2044500350,6.26,1970,98125
1155 (1157) N 130th Ave,Nonresidential COS,Seattle,Compliant,5,2016,false,2280352,668333,0,0.62,Residential Care Facility,25557,47.72299,Residential Care Facility,'-122.34293,0,0,North,1,4,21216,Other,25557,0,25557,Mary's Place (PI Bank),2280352.5,2280352.5,89.19999695,89.19999695,280.2000122,280.2000122,WA,0,1926049218,15.9,1970,98133
11550 LAKE CITY WAY NE,NonResidential,Seattle,Compliant,5,2016,false,1521297,445866.6875,0,0.91,Automobile Dealership,35115,47.7139,Automobile Dealership,'-122.29794,401656,4016.560059,North,1,3,24406,Other,35115,0,35115,Mini Cooper Car Dealership (ID24406),1922953.25,2053325.25,54.79999924,58.5,148,151.8999939,WA,0,3448001720,31.94,2009,98125
11550 Stone Ave N,Multifamily LR (1-4),Seattle,Compliant,5,2016,false,625899,183440.4063,84,0.41,Multifamily Housing,29130,47.71382,Multifamily Housing,'-122.34175,142581,1425.810059,North,1,4,24617,Low-Rise Multifamily,29130,0,29130,STONE VIEW COURT,768479.625,797546.125,26.39999962,27.39999962,72.59999847,74.80000305,WA,0,8029800000,11.94,2000,98133
11556 GREENWOOD AVE N,Multifamily LR (1-4),Seattle,Compliant,5,2016,false,552016,161786.5,58,0.18,Multifamily Housing,21552,47.71391,Multifamily Housing,'-122.35512,0,0,North,1,3,23047,Low-Rise Multifamily,21552,0,21552,Halcon Condos,552015.625,577043.125,25.60000038,26.79999924,80.40000153,84.09999847,WA,0,3021700000,3.85,1974,98133
116 11th Avenue E.,Multifamily MR (5-9),Seattle,Compliant,3,2016,false,601813,176381.2969,0,0.18,Multifamily Housing,22874,47.61927,Multifamily Housing,'-122.31786,0,0,Central,1,5,20222,Mid-Rise Multifamily,22874,0,22874,Broadway Plaza Condominiums,601813.125,633873.875,26.29999924,27.70000076,82.59999847,87,WA,0,1131000000,4.2,1985,98102
116 Fairview Ave. N.,NonResidential,Seattle,Compliant,7,2016,false,23718388,6951462,8,1.26,Senior Care Community,726000,47.61935,Senior Care Community,'-122.33389,14078694,140786.9375,Central,1,14,21741,Senior Care Community,724148,0,724148,Mirabella Seattle,37797084,39120828,52.09999847,53.90000153,122.9000015,124.9000015,WA,0,2468400005,913.07,2006,98109
116 Stewart St.,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,1702602,499004.0938,0,4.73,Multifamily Housing,48152,47.61094,"Multifamily Housing, Retail Store",'-122.34075,4755419,47554.19141,Central,1,8,21091,Mid-Rise Multifamily,55882,0,55882,Plymouth on Stewart,6458021.5,6853384.5,127.0999985,134.8999939,203.5,212.5,WA,0,1977200970,264.43,1909,98101
116 Warren Ave N,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,546745,160241.9063,0,1.17,Multifamily Housing,21169,47.61911,"Multifamily Housing, Office, Parking",'-122.35377,690910,6909.100098,North,1,5,20534,Mid-Rise Multifamily,25514,9028,34542,Centre Court,1237655.25,1286488.75,48.5,50.40000153,95.69999695,97.69999695,WA,0,1499000000,40.51,2002,98103
11616 AURORA AVE N,NonResidential,Seattle,Compliant,5,2016,false,5935365,1739556,60,2.9,Retail Store,130767,47.71417,Retail Store,'-122.34256,4777640,47776.39844,North,1,1,848,Retail Store,101830,0,101830,#4706 Bitterlake,10713006,11474490,81.90000153,87.69999695,180.8999939,187,WA,0,3026049093,295.12,1995,98133
11650 Beacon Ave S,SPS-District K-12,Seattle,Error - Correct Default Data,2,2016,true,657517,192707.2969,90,1.07,K-12 School,41428,47.49917,K-12 School,'-122.26306,747185,7471.848633,South,1,1,24035,K-12 School,41428,0,41428,Rainier View Elementary,1404702.25,1556431.5,33.90000153,37.59999847,68.80000305,73.69999695,WA,0,3352401300,44.27,1961,98178
1167 Republican St.,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,1038827,304462.8125,100,0.62,Multifamily Housing,52211,47.62289,"Multifamily Housing, Office, Parking",'-122.33335,896667,8966.669922,Central,1,6,21730,Mid-Rise Multifamily,88004,0,88004,Casa Pacifica Apartments,1935494.25,2078428.25,31.10000038,33.40000153,67.5,72.30000305,WA,0,2467400167,54.86,1997,98109
117 John ST,Multifamily LR (1-4),Seattle,Compliant,7,2016,false,329117,96458.79688,66,4.25,Multifamily Housing,24329,47.61964,"Multifamily Housing, Parking",'-122.35469,1904151,19041.50977,North,1,3,28006,Low-Rise Multifamily,24329,0,24329,The Pittsburgh,2233268.5,2456183.25,91.80000305,101,124.6999969,134.8000031,WA,0,6815500000,103.42,1907,98109
117 S. Main,NonResidential,Seattle,Compliant,7,2016,false,1217509,356831.5,77,0.3,Office,27838,47.59979,Office,'-122.33339,0,0,Central,1,4,25660,Small- and Mid-Sized Office,27838,0,27838,Union Trust Annex,1217509.125,1265151.625,43.70000076,45.40000153,137.3000031,142.6999969,WA,0,5247800365,8.49,1902,98104
1170 ALKI AVE SW,Multifamily MR (5-9),Seattle,Compliant,1,2016,false,829801,243200.7031,96,0.13,Multifamily Housing,43222,47.59454,Multifamily Housing,'-122.38774,0,0,South,1,6,25526,Mid-Rise Multifamily,43222,0,43222,THE WATERFRONT CONDO HOA,829801,858099.125,19.20000076,19.89999962,60.29999924,62.29999924,WA,0,9195800000,5.78,1996,98116
1170 Harrison  Street,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,1183336,346815.8125,13,1.44,Multifamily Housing,36413,47.62222,Multifamily Housing,'-122.33337,834563,8345.629883,Central,1,5,21729,Mid-Rise Multifamily,36413,0,36413,Lakeview Apartment LPS,2017898.5,2122336,55.40000153,58.29999924,126.0999985,133.3999939,WA,0,2467400150,52.57,2000,98109
11700 1st Ave. NE,NonResidential,Seattle,Compliant,5,2016,false,320006,93788.39844,47,0.88,Worship Facility,24955,47.71479,Worship Facility,'-122.32824,369797,3697.970215,North,1,1,27598,Worship Facility,24955,0,24955,St. Andrew Kim,689803,773357,27.60000038,31,55.79999924,59.29999924,WA,0,6411600330,21.87,2002,98125
11725 15th AVE NE,Multifamily LR (1-4),Seattle,Compliant,5,2016,false,1172903,343758.3125,59,0.16,Multifamily Housing,51510,47.71496,Multifamily Housing,'-122.3129,0,0,North,1,4,21565,Low-Rise Multifamily,39632,11878,51510,Kimberly Apartments,1172903.375,1250232.25,22.79999924,24.29999924,71.5,76.19999695,WA,0,2044500281,8.18,1989,98125
11725 1st Ave. N.E.,SPS-District K-12,Seattle,Error - Correct Default Data,5,2016,true,786971,230648.0938,84,1.52,K-12 School,45174,47.71487,K-12 School,'-122.32959,1193854,11938.53711,North,1,1,27597,K-12 School,45174,0,45174,Northgate Elementary,1980825.25,2205570.75,43.79999924,48.79999924,82.5,88.90000153,WA,0,6411600312,68.89,1956,98125
11737 Greenwood Ave N,Multifamily LR (1-4),Seattle,Compliant,5,2016,false,1115504,326935.5938,82,0.21,Multifamily Housing,37580,47.71537,"Multifamily Housing, Parking",'-122.35594,0,0,North,1,4,25139,Low-Rise Multifamily,37580,0,37580,Winchester Apts,1115504.375,1180104.25,29.70000076,31.39999962,93.19999695,98.59999847,WA,0,3918400030,7.78,1989,98133
11740 Greenwood AVE N,Multifamily LR (1-4),Seattle,Compliant,5,2016,false,717198,210198.5938,83,0.15,Multifamily Housing,26941,47.71539,"Multifamily Housing, Parking",'-122.35509,0,0,North,1,3,26089,Low-Rise Multifamily,32962,0,32962,Olympic View Apartments,717197.8125,758176.375,26.60000038,28.10000038,83.59999847,88.40000153,WA,0,6140100015,5,1987,98133
118 Bell Street,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,1512202,443201.0938,0,1.3,Multifamily Housing,22129,47.61396,"Multifamily Housing, Office, Other - Lodging/Residential, Retail Store",'-122.34609,702267,7022.67041,Central,1,6,19870,Mid-Rise Multifamily,36676,0,36676,Bakhita Gardens,2214469.5,2316515.5,60.40000153,63.20000076,149.6000061,156.3999939,WA,0,655000075,47.84,2000,98121
118 Republican Street,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,2492132,730402,100,0.8,Multifamily Housing,204794,47.62361,Multifamily Housing,'-122.35455,4224707,42247.07031,North,1,7,21461,Mid-Rise Multifamily,301831,0,301831,Expo,6716839,6943289.5,32.79999924,33.90000153,59.90000153,62.59999847,WA,0,1988200190,241.75,2012,98109
119 19th Ave E,Multifamily LR (1-4),Seattle,Compliant,3,2016,false,841821,246723.5938,64,0.14,Multifamily Housing,30716,47.61927,"Multifamily Housing, Parking",'-122.30764,0,0,Central,1,3,22521,Low-Rise Multifamily,42260,0,42260,Garden Court Apartments,841821,876593.6875,27.39999962,28.5,86.09999847,89.59999847,WA,0,2784100055,5.87,1999,98112
119 1st Ave. S.,NonResidential,Seattle,Compliant,7,2016,false,2058533,603321.375,0,0.37,Office,29258,47.60106,"Office, Retail Store",'-122.33458,0,0,Central,1,5,25541,Small- and Mid-Sized Office,38376,0,38376,The Maynard Building,2058532.875,2142457.5,65,67.69999695,204.1000061,212.3999939,WA,0,5247800035,14.35,1900,98104
119 Harvard Ave E,Multifamily MR (5-9),Seattle,Compliant,3,2016,false,911089,267024.8125,77,0.16,Multifamily Housing,39226,47.61932,Multifamily Housing,'-122.32257,0,0,Central,1,5,24432,Mid-Rise Multifamily,39226,0,39226,Ramayana Apartments,911088.8125,979190,23.20000076,25,72.90000153,78.40000153,WA,0,6003002120,6.35,1965,98102
119 Pine Street,NonResidential,Seattle,Compliant,7,2016,false,1173976,344072.6875,72,1.62,Office,25500,47.60994,"Office, Retail Store",'-122.33997,0,0,Central,1,4,21469,Small- and Mid-Sized Office,47686,0,47686,Doyle Building,2071670.25,2223121.25,60.90000153,65.40000153,140.1999969,145.5,WA,897694,1975700605,77.48,1919,98101
119 S. Main Street,NonResidential,Seattle,Compliant,7,2016,false,524342,153675.7969,99,0.35,Office,32001,47.59979,"Office, Retail Store",'-122.33318,188985,1889.849976,Central,1,4,25659,Small- and Mid-Sized Office,39030,0,39030,Union Trust Building,713326.875,773324.6875,18.39999962,20,47.70000076,49.29999924,WA,0,5247800360,13.69,1902,98104
119 W Roy St,Multifamily LR (1-4),Seattle,Compliant,7,2016,false,588694,172536.2969,70,2.84,Multifamily Housing,48320,47.62526,Multifamily Housing,'-122.35471,2656904,26569.03906,North,1,4,23465,Low-Rise Multifamily,51150,0,51150,Chandler Hall Apartments,3245598,3611072.25,67.19999695,74.69999695,96,104.1999969,WA,0,3879900590,145.21,1924,98119
1191 2nd Avenue,NonResidential,Seattle,Compliant,7,2016,false,18040489,5287365,95,0.22,Office,522667,47.60614,"Office, Parking",'-122.33674,0,0,Central,1,29,349,Large Office,438072,197231,635303,2nd and Seneca,18221224,18754466,34.90000153,35.90000153,108.8000031,111.9000015,WA,180731.7969,942000030,139.72,1991,98101
120 6th Ave N,NonResidential,Seattle,Compliant,7,2016,false,1539066,451074.5,0,0.21,Office,54150,47.61952,"Data Center, Office",'-122.34462,0,0,Central,1,3,21534,Small- and Mid-Sized Office,51552,0,51552,Little Wing,1539066.375,1539066.375,28.10000038,28.10000038,88.19999695,88.19999695,WA,0,1991200705,10.73,2013,98109
120 6th Avenue S,Multifamily MR (5-9),Seattle,Compliant,2,2016,false,2316332,678878,100,1.08,Senior Care Community,107312,47.60155,"Parking, Senior Care Community",'-122.32585,2444402,24444.02148,Central,1,7,26846,Senior Care Community,134974,0,134974,Washington Terrace,4760734,4882795.5,44.40000153,45.5,91.69999695,95.30000305,WA,0,5247802065,145.97,2005,98104
120 HARVARD AVE E,Multifamily MR (5-9),Seattle,Compliant,3,2016,false,1032362,302567.9063,91,0.15,Multifamily Housing,30480,47.61932,"Multifamily Housing, Parking",'-122.32184,33915,339.1500244,Central,1,7,50027,Mid-Rise Multifamily,62049,0,62049,Lexicon Apartments,1066276.75,1061854.75,35,34.79999924,107.5,107.4000015,WA,0,6003002060,9,2014,98102
120 Lakeside,NonResidential,Seattle,Compliant,3,2016,false,3605750,1056784.75,0,0.33,Office,50379,47.60207,"Non-Refrigerated Warehouse, Office, Restaurant, Retail Store",'-122.28481,0,0,Central,6,2,27389,Small- and Mid-Sized Office,75868,0,75868,Leschi Lakecenter,3605749.75,3605749.75,47.5,47.5,149.1999969,149.1999969,WA,0,4114601145,25.14,1956,98122
120 Lenora,NonResidential,Seattle,Compliant,7,2016,false,14436981,4231237,0,0.52,Other,146689,47.61252,Other,'-122.34351,0,0,Central,1,12,428,Other,155500,38000,193500,Lenora,14436982,14436982,98.40000153,98.40000153,309,309,WA,0,1977200740,100.65,1985,98121
120 N. 79th St.,NonResidential,Seattle,Compliant,6,2016,false,680757,199518.5938,43,3.69,K-12 School,33780,47.68642,K-12 School,'-122.35707,1915026,19150.25977,North,1,3,20917,K-12 School,28820,0,28820,St. John School,2595783.5,2959193.75,76.80000305,87.59999847,122.8000031,135.6999969,WA,0,1646501150,106.45,1922,98103
120 NW 39th St,Multifamily LR (1-4),Seattle,Compliant,6,2016,false,635952,186386.7969,80,0.18,Multifamily Housing,23976,47.65439,Multifamily Housing,'-122.35832,0,0,Central,1,4,19590,Low-Rise Multifamily,23976,0,23976,Azul Flats in Fremont,635951.8125,660438.375,26.5,27.5,83.30000305,86.5,WA,0,347000000,4.43,1988,98107
120 Westlake Ave N,Multifamily HR (10+),Seattle,Compliant,7,2016,false,6414247,1879908.375,20,1.15,Multifamily Housing,220280,47.61921,"Multifamily Housing, Parking",'-122.33807,7790033,77900.32813,Central,1,11,28068,High-Rise Multifamily,399935,0,399935,Rollin Street Flats,14204281,14561657,64.5,66.09999847,128.6000061,129.5,WA,0,7398000000,458.44,2007,98109
1200 12th Avenue South,NonResidential,Seattle,Compliant,2,2016,false,18843504,5522715,66,0.81,Office,218918,47.5928,"Medical Office, Office, Parking",'-122.31599,2183891,21838.90625,South,1,14,569,Mixed Use Property,304052,0,304052,Pacific Tower,21027396,21290090,69.40000153,70.30000305,202.8999939,203.8000031,WA,0,2829600110,247.35,1932,98144
1200 3rd Ave,NonResidential,Seattle,Compliant,7,2016,false,19036413,5579253.5,13,0.7,Office,151740,47.60741,"Office, Other",'-122.33565,0,0,Central,1,13,766,Large Office,189175,0,189175,1200 3rd Ave,19036416,19036416,115.8000031,115.8000031,363.6000061,363.6000061,WA,0,1975200015,132.71,1921,98104
1200 4TH AVE S,NonResidential,Seattle,Compliant,2,2016,false,4242711,1243467.5,0,2.65,Other - Public Services,65700,47.5908,"Other - Public Services, Parking",'-122.32828,2615822,26158.2207,South,3,2,730,Other,63644,0,63644,(ID#730)Campus 4:KC Metro Transit Ryerson Base,6858533.5,7448018,104.4000015,113.4000015,244.6000061,254,WA,0,7666204685,168.5,1986,98134
1200 5th avenue,NonResidential,Seattle,Compliant,7,2016,false,13134207,3849416,77,1.58,Office,256299,47.60842,"Office, Other - Restaurant/Bar, Parking",'-122.33305,462194,4621.937012,Central,1,22,386,Large Office,336330,0,336330,IBM-COS,18967014,19730534,71.90000153,74.80000305,182.6999969,186.1999969,WA,5370612,2400002,530.66,1964,98101
1200 6th Avenue,NonResidential,Seattle,Compliant,7,2016,false,19397322,5685030,74,0.3,Office,342952,47.60909,"Office, Parking",'-122.33202,0,0,Central,1,21,424,Large Office,363100,93204,456304,PARK PLACE OFFICE BLDG (ID424),19397324,20421248,56.59999847,59.5,177.6000061,187,WA,0,1976700185,135.23,1971,98101
1200 Alki Ave. SW,Multifamily MR (5-9),Seattle,Compliant,1,2016,false,370047,108454.6016,96,0.9,Multifamily Housing,26442,47.59445,Multifamily Housing,'-122.38819,397276,3972.760254,South,1,5,25852,Mid-Rise Multifamily,26442,0,26442,1200 Alki LLC,767323.3125,831167,29,31.39999962,59.70000076,62.79999924,WA,0,8725970000,23.68,2000,98116
1200 Boylston Ave,Multifamily HR (10+),Seattle,Compliant,3,2016,false,623335,182689.0938,40,3.91,Multifamily Housing,38220,47.61249,Multifamily Housing,'-122.32303,2733597,27335.9707,Central,1,10,23948,High-Rise Multifamily,38220,0,38220,The Manhattan,3356932.25,3656318.75,87.80000305,95.69999695,126.3000031,134.8999939,WA,0,5070700000,149.53,1960,98101
1200 Harvard Ave,NonResidential,Seattle,Compliant,3,2016,false,9886484,2897562.75,48,2.41,Medical Office,179014,47.61244,Medical Office,'-122.3214,6814570,68145.70313,Central,0,3,89,Medical Office,179014,0,179014,Polyclinic North && South,16701055,16527711,93.30000305,92.30000305,213.3999939,210.3000031,WA,0,1978201270,430.84,1965,98122
1200 Mercer St,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,1813285,531443.5,65,0.25,Multifamily Housing,79402,47.61319,Multifamily Housing,'-122.34481,0,0,Central,1,6,21512,Mid-Rise Multifamily,50376,0,50376,Mercerview,1813285.25,1864190.125,22.79999924,23.5,71.69999695,73.69999695,WA,0,1977200671,12.64,1923,98109
1200 UNIVERSITY ST,Multifamily HR (10+),Seattle,Compliant,3,2016,false,7107388,2083056.375,1,3.43,Multifamily Housing,158076,47.61248,"Multifamily Housing, Parking",'-122.32556,12418691,124186.9063,Central,1,13,21344,High-Rise Multifamily,207022,0,207022,SUMMIT AT FIRST HILL (ID#21344),19526080,20611792,123.5,130.3999939,223.6999969,230.8999939,WA,0,1978200865,709.11,2000,98101
1200 Westlake Ave N,NonResidential,Seattle,Compliant,7,2016,false,8069980,2365175.75,58,2.93,Office,107594,47.63,"Food Service, Office, Parking, Restaurant",'-122.3396,5828201,58282.00781,Central,1,11,604,Large Office,124721,0,124721,AGC Building,13898181,14339818,111.4000015,115,252.1999969,255.8999939,WA,0,4088803725,365.79,1971,98109
12000 15th Ave NE,Multifamily LR (1-4),Seattle,Compliant,5,2016,false,747995,219224.7031,0,0.11,Multifamily Housing,28785,47.71606,"Multifamily Housing, Office, Parking",'-122.31215,0,0,North,1,4,27962,Low-Rise Multifamily,45579,0,45579,Raleigh Manor,747994.8125,747994.8125,22.70000076,22.70000076,71.19999695,71.19999695,WA,0,6798100830,5.21,2000,98125
